"store_id","month","report_flag","net_sales_k","ln_sales","ai_share","web_visits_k","competitor_price","ad_spend_k","stockout_rate"
"ST001",2022-03-01,1,266.35,5.5848,0,24.74,104.29,6.39,6.2
"ST001",2022-04-01,1,270.51,5.6003,0,24.37,102.91,7.56,5.69
"ST001",2022-05-01,1,262.85,5.5716,0,21.81,103.87,5.94,5.21
"ST001",2022-06-01,1,247.92,5.5131,0,25.55,98.87,6.16,3.93
"ST001",2022-07-01,1,249.5,5.5195,0,24.8,99.37,6.29,4.41
"ST001",2022-08-01,1,246.31,5.5066,0,24.25,102.61,5.63,5.39
"ST001",2022-09-01,1,261.58,5.5667,0,28.44,101.8,5.18,5.11
"ST001",2022-10-01,1,264.72,5.5787,0,23.32,100.45,6.62,5.88
"ST001",2022-11-01,1,289.7,5.6689,0,29.14,103.17,6.08,4.63
"ST001",2022-12-01,1,289.25,5.6673,0,28.55,103.83,7.67,5.28
"ST001",2023-01-01,1,280.05,5.635,0,29.01,102.73,6.4,6.76
"ST001",2023-02-01,1,285.11,5.6529,0,28.85,104.09,7.22,4.12
"ST001",2023-03-01,0,NA,NA,NA,NA,NA,NA,NA
"ST001",2023-04-01,1,253.21,5.5342,0,30.3,101.99,6.49,8.78
"ST001",2023-05-01,1,278.82,5.6306,0,31.86,103.25,7.09,4.2
"ST001",2023-06-01,1,282.09,5.6422,18.37,33.02,102.72,7.49,3.83
"ST001",2023-07-01,1,289.9,5.6695,26.38,25.38,102.37,7.4,3.21
"ST001",2023-08-01,1,275.59,5.6189,25.47,27.38,105.34,6.22,5.8
"ST001",2023-09-01,1,286.71,5.6585,31.33,30.61,104.56,6.6,5.22
"ST001",2023-10-01,1,307.92,5.7298,33.73,29.14,101.76,5.88,3.58
"ST001",2023-11-01,1,306.49,5.7252,35.89,28.56,101.8,5.67,5.28
"ST001",2023-12-01,1,316.11,5.7561,42.87,34,104.39,7.14,5.61
"ST001",2024-01-01,1,318.14,5.7625,46.53,30.59,106.04,6.32,6.19
"ST001",2024-02-01,1,315.29,5.7535,51.09,31.35,105.36,5.91,5.69
"ST001",2024-03-01,0,NA,NA,NA,NA,NA,NA,NA
"ST001",2024-04-01,1,341.63,5.8337,55.25,32.84,106.34,6.4,5.98
"ST001",2024-05-01,1,342.32,5.8357,58.28,31.62,104.67,6.21,5.86
"ST001",2024-06-01,0,NA,NA,NA,NA,NA,NA,NA
"ST001",2024-07-01,1,326.29,5.7878,68.77,33.29,105.4,5.01,4.7
"ST001",2024-08-01,1,332.83,5.8076,81.98,32.13,102.77,7.5,2.1
"ST001",2024-09-01,1,342.5,5.8363,78.23,34.8,105.11,5.9,5.17
"ST002",2022-05-01,1,241.3,5.486,0,21.57,103.42,5.49,5.26
"ST002",2022-06-01,1,233.89,5.4548,0,22.34,103.39,4.18,5.83
"ST002",2022-07-01,1,244.12,5.4977,0,21.16,101.82,4.77,3.87
"ST002",2022-08-01,1,254.18,5.538,0,21.98,101.49,4.67,2.83
"ST002",2022-09-01,1,241.2,5.4856,0,22.49,102.9,3.89,5.38
